AGS,KRS,Name,Partei,Farbe,Wahl_1990,Wahl_1994,Wahl_1998,Wahl_2002,Wahl_2005,Wahl_2009,Wahl_2013,Haushaltseinkommen,Arbeitslosenquote,Christen,Ausländeranteil,Wohnungseinbrüche,Durchschnittsalter,Gemeindetyp
9576122,9576,Greding,CDU/CSU,black,0.74,0.7,0.67,0.79,0.69,0.59,0.67,1927,2.9,89,4.9,54,43.6,Kleinstadt
9577133,9577,Gnotzheim,CDU/CSU,black,0.77,0.71,0.69,0.79,0.68,0.57,0.69,1778,3.4,96.4,6.3,25,44.1,Landgemeinde
9577163,9577,Raitenbuch,CDU/CSU,black,0.75,0.71,0.67,0.76,0.7,0.61,0.68,1778,3.4,94,6.3,25,44.1,Landgemeinde
9673129,9673,Hausen,CDU/CSU,black,0.78,0.75,0.71,0.79,0.7,0.64,0.7,1738,3.2,92,3,36,44.3,Landgemeinde
9673174,9673,Trappstadt,CDU/CSU,black,0.79,0.72,0.67,0.77,0.7,0.57,0.66,1738,3.2,89,3,36,44.3,Landgemeinde
9675155,9675,Nordheim a.Main,CDU/CSU,black,0.88,0.77,0.74,0.78,0.7,0.61,0.71,1823,3.2,93.7,5.9,45,43.7,Kleinstadt
9677128,9677,Fellen,CDU/CSU,black,0.77,0.72,0.65,0.74,0.7,0.61,0.7,1824,2.5,94,4.9,25,44.9,Landgemeinde
9679136,9679,Gerbrunn,Grüne,green,0.07,0.11,0.12,0.14,0.15,0.16,0.13,1859,2.7,75,4.4,63,43.7,Kleinstadt
9679179,9679,Riedenheim,CDU/CSU,black,0.81,0.76,0.7,0.79,0.7,0.6,0.71,1859,2.7,94.7,4.4,63,43.7,Landgemeinde
9679188,9679,Sonderhofen,CDU/CSU,black,0.74,0.68,0.67,0.74,0.69,0.63,0.71,1859,2.7,93.9,4.4,63,43.7,Landgemeinde
9771162,9771,Schiltberg,CDU/CSU,black,0.75,0.68,0.68,0.8,0.67,0.56,0.68,1985,2.7,87.3,6.3,80,42.7,Landgemeinde
9771165,9771,Sielenbach,CDU/CSU,black,0.78,0.74,0.72,0.81,0.66,0.57,0.67,1985,2.7,89,6.3,80,42.7,Kleinstadt
9773150,9773,Finningen,CDU/CSU,black,0.72,0.71,0.65,0.81,0.68,0.57,0.68,1896,2.4,93.1,6.7,19,42.9,Kleinstadt
9774111,9774,Aletshausen,CDU/CSU,black,0.74,0.69,0.63,0.77,0.68,0.59,0.74,1995,2.9,89.7,10.1,70,42.6,Landgemeinde
9774116,9774,Ursberg,CDU/CSU,black,0.79,0.77,0.72,0.78,0.69,0.58,0.67,1995,2.9,93.1,10.1,70,42.6,Landgemeinde
9774166,9774,Aichen,CDU/CSU,black,0.74,0.71,0.69,0.81,0.68,0.57,0.67,1995,2.9,92,10.1,70,42.6,Landgemeinde
9774189,9774,Wiesenbach,CDU/CSU,black,0.72,0.69,0.65,0.76,0.65,0.54,0.65,1995,2.9,93.4,10.1,70,42.6,Landgemeinde
9777139,9777,Irsee,Grüne,green,0.1,0.14,0.13,0.12,0.12,0.18,0.14,1861,2.8,81.5,6.7,20,43.2,Landgemeinde
9777141,9777,Kaltental,CDU/CSU,black,0.72,0.68,0.64,0.74,0.64,0.58,0.66,1861,2.8,87,6.7,20,43.2,Landgemeinde
9777144,9777,Kraftisried,CDU/CSU,black,0.72,0.73,0.67,0.79,0.69,0.66,0.73,1861,2.8,88.9,6.7,20,43.2,Landgemeinde
9777149,9777,Lengenwang,CDU/CSU,black,0.71,0.71,0.69,0.81,0.77,0.6,0.69,1861,2.8,92,6.7,20,43.2,Landgemeinde
9778119,9778,Böhen,CDU/CSU,black,0.8,0.77,0.72,0.83,0.78,0.6,0.76,1956,2.2,91,6.5,41,43.3,Kleinstadt
9778121,9778,Breitenbrunn,CDU/CSU,black,0.73,0.68,0.64,0.8,0.7,0.54,0.67,1956,2.2,91.8,6.5,41,43.3,Landgemeinde
9778149,9778,Hawangen,CDU/CSU,black,0.75,0.7,0.66,0.79,0.67,0.6,0.7,1956,2.2,87.6,6.5,41,43.3,Kleinstadt
9778157,9778,Kirchhaslach,CDU/CSU,black,0.8,0.73,0.69,0.83,0.71,0.56,0.68,1956,2.2,91.4,6.5,41,43.3,Kleinstadt
