AGS,KRS,Name,Partei,Farbe,Wahl_1990,Wahl_1994,Wahl_1998,Wahl_2002,Wahl_2005,Wahl_2009,Wahl_2013,Haushaltseinkommen,Arbeitslosenquote,Christen,Ausländeranteil,Wohnungseinbrüche,Durchschnittsalter,Gemeindetyp
16061085,16061,Schwobfeld,AfD,blue,0.12,0.11,0.11,0.13,0.12,0.12,0.12,1517,5.6,85.5,1.5,67,44.8,Landgemeinde
16061091,16061,Steinheuterode,AfD,blue,0.12,0.12,0.1,0.1,0.1,0.11,0.12,1517,5.6,5,1.5,67,44.8,Landgemeinde
16061105,16061,Wiesenfeld,AfD,blue,0.11,0.11,0.09,0.11,0.11,0.11,0.11,1517,5.6,92.1,1.5,67,44.8,Landgemeinde
16062041,16062,Nordhausen,Linke,Linke,0.1,0.21,0.24,0.19,0.3,0.33,0.27,1430,9.6,19.7,2.3,113,46.8,Mittelstadt
16063003,16063,Bad Salzungen,Linke,Linke,0.13,0.24,0.26,0.21,0.31,0.38,0.29,1549,5.7,22.7,1.6,59,46.6,Kleinstadt
16063004,16063,Barchfeld-Immelborn,Linke,Linke,0.1,0.2,0.26,0.2,0.32,0.37,0.28,1549,5.7,36.6,1.6,59,46.6,Landgemeinde
16063068,16063,Schleid,CDU/CSU,black,0.85,0.85,0.7,0.76,0.65,0.72,0.76,1549,5.7,94,1.6,59,46.6,Landgemeinde
16063093,16063,Zella/Rhön,CDU/CSU,black,0.74,0.74,0.66,0.75,0.63,0.65,0.68,1549,5.7,96,1.6,59,46.6,Landgemeinde
16064046,16064,Mühlhausen/Thüringen,Linke,Linke,0.09,0.19,0.23,0.18,0.29,0.33,0.27,1459,10.1,27.3,1.4,64,46.2,Mittelstadt
16065002,16065,Artern/Unstrut,Linke,Linke,0.12,0.24,0.26,0.22,0.36,0.41,0.35,1416,11,12.3,1.5,76,47.7,Kleinstadt
16065003,16065,Bad Frankenhausen/Kyffhäuser,Linke,Linke,0.11,0.19,0.23,0.2,0.32,0.37,0.32,1416,11,14.8,1.5,76,47.7,Kleinstadt
16065067,16065,Sondershausen,Linke,Linke,0.09,0.19,0.24,0.19,0.3,0.34,0.26,1416,11,22.9,1.5,76,47.7,Mittelstadt
16065076,16065,Voigtstedt,Linke,Linke,0.09,0.2,0.28,0.22,0.34,0.38,0.35,1416,11,16.7,1.5,76,47.7,Landgemeinde
16066024,16066,Frankenheim/Rhön,Linke,Linke,0.11,0.21,0.24,0.25,0.39,0.45,0.3,1550,5.9,49.6,1.8,24,47.2,Landgemeinde
16066042,16066,Meiningen,Linke,Linke,0.13,0.23,0.26,0.21,0.29,0.34,0.26,1550,5.9,27.5,1.8,24,47.2,Mittelstadt
16066063,16066,Schmalkalden,Linke,Linke,0.1,0.19,0.24,0.18,0.3,0.34,0.27,1550,5.9,38.5,1.8,24,47.2,Kleinstadt
16066076,16066,Untermaßfeld,Linke,Linke,0.1,0.22,0.25,0.23,0.31,0.35,0.3,1550,5.9,22.9,1.8,24,47.2,Mittelstadt
16066092,16066,Zella-Mehlis,Linke,Linke,0.1,0.19,0.24,0.19,0.29,0.31,0.25,1550,5.9,20.5,1.8,24,47.2,Kleinstadt
16067071,16067,Tüttleben,AfD,blue,0.1,0.11,0.1,0.1,0.1,0.15,0.14,1477,7.3,34,3.1,81,46.4,Landgemeinde
16068017,16068,Großmölsen,AfD,blue,0.12,0.11,0.1,0.1,0.09,0.11,0.12,1491,8.7,46,1.3,62,46.2,Landgemeinde
16068051,16068,Sömmerda,Linke,Linke,0.1,0.21,0.27,0.21,0.32,0.36,0.3,1491,8.7,17,1.3,62,46.2,Kleinstadt
16069003,16069,Beinerstadt,Linke,Linke,0.14,0.19,0.3,0.22,0.34,0.45,0.33,1558,5.2,34.2,1.4,34,46.6,Landgemeinde
16069024,16069,Hildburghausen,Linke,Linke,0.13,0.23,0.27,0.22,0.29,0.36,0.27,1558,5.2,28.1,1.4,34,46.6,Kleinstadt
16070001,16070,Alkersleben,AfD,blue,0.1,0.11,0.09,0.09,0.09,0.12,0.12,1477,7.7,3,3.2,84,46.5,Landgemeinde
16070008,16070,Dornheim,AfD,blue,0.16,0.15,0.13,0.14,0.14,0.14,0.15,1477,7.7,29.9,3.2,84,46.5,Landgemeinde
16070015,16070,Frauenwald,AfD,blue,0.09,0.09,0.09,0.11,0.11,0.14,0.13,1477,7.7,40.2,3.2,84,46.5,Landgemeinde
16070028,16070,Amt Wachsenburg,AfD,blue,0.12,0.13,0.1,0.11,0.11,0.13,0.12,1477,7.7,19.9,3.2,84,46.5,Kleinstadt
16070037,16070,Neusiß,AfD,blue,0.1,0.13,0.12,0.13,0.14,0.15,0.18,1477,7.7,24,3.2,84,46.5,Landgemeinde
16070052,16070,Wildenspring,Linke,Linke,0.12,0.2,0.31,0.25,0.27,0.35,0.33,1477,7.7,24.9,3.2,84,46.5,Landgemeinde
16071073,16071,Ottstedt a,AfD,blue,0.17,0.18,0.15,0.15,0.13,0.14,0.14,1516,6.5,2,1.9,83,45.8,Landgemeinde
16071095,16071,Wiegendorf,AfD,blue,0.14,0.14,0.09,0.1,0.1,0.12,0.12,1516,6.5,24.5,1.9,83,45.8,Landgemeinde
16072006,16072,Goldisthal,Linke,Linke,0.1,0.2,0.29,0.24,0.32,0.41,0.36,1584,4.3,12.5,1.6,32,48.4,Kleinstadt
16072013,16072,Neuhaus am Rennweg,Linke,Linke,0.13,0.22,0.27,0.25,0.35,0.39,0.3,1584,4.3,17.8,1.6,32,48.4,Kleinstadt
16072018,16072,Sonneberg,Linke,Linke,0.1,0.18,0.22,0.19,0.28,0.34,0.27,1584,4.3,31.5,1.6,32,48.4,Mittelstadt
16073035,16073,Hohenwarte,AfD,blue,0.08,0.09,0.09,0.11,0.13,0.15,0.16,1531,8,22.5,1.6,46,48.6,Landgemeinde
16073076,16073,Rudolstadt,Linke,Linke,0.1,0.2,0.22,0.17,0.29,0.33,0.25,1531,8,23.4,1.6,46,48.6,Mittelstadt
16073077,16073,Saalfeld/Saale,Linke,Linke,0.11,0.2,0.23,0.19,0.29,0.31,0.25,1531,8,32,1.6,46,48.6,Mittelstadt
16074041,16074,Hermsdorf,Linke,Linke,0.1,0.2,0.25,0.2,0.31,0.33,0.3,1541,6.8,19.4,2.5,113,46.6,Kleinstadt
16074056,16074,Meusebach,AfD,blue,0.15,0.14,0.14,0.14,0.14,0.15,0.14,1541,6.8,2,2.5,113,46.6,Landgemeinde
16074089,16074,Seitenroda,AfD,blue,0.11,0.12,0.1,0.11,0.1,0.12,0.11,1541,6.8,30.5,2.5,113,46.6,Landgemeinde
16074098,16074,Tautenhain,Linke,Linke,0.19,0.3,0.28,0.22,0.3,0.34,0.28,1541,6.8,27.8,2.5,113,46.6,Kleinstadt
16075004,16075,Blankenstein,Linke,Linke,0.1,0.19,0.22,0.17,0.29,0.36,0.3,1532,7,39.4,1.6,43,47.5,Landgemeinde
16075008,16075,Bucha,AfD,blue,0.12,0.13,0.13,0.15,0.14,0.19,0.14,1532,7,53,1.6,43,47.5,Landgemeinde
16075023,16075,Eßbach,Linke,Linke,0.1,0.19,0.25,0.17,0.31,0.38,0.33,1532,7,,1.6,43,47.5,Landgemeinde
16075031,16075,Gertewitz,AfD,blue,0.08,0.09,0.08,0.09,0.09,0.1,0.12,1532,7,39,1.6,43,47.5,Landgemeinde
16075046,16075,Hirschberg,Linke,Linke,0.12,0.2,0.25,0.18,0.29,0.36,0.27,1532,7,30,1.6,43,47.5,Landgemeinde
16075061,16075,Linda b,AfD,blue,0.11,0.11,0.11,0.11,0.12,0.12,0.12,1532,7,63,1.6,43,47.5,Kleinstadt
16075062,16075,Bad Lobenstein,Linke,Linke,0.14,0.23,0.25,0.22,0.32,0.4,0.37,1532,7,33,1.6,43,47.5,Kleinstadt
16075079,16075,Paska,AfD,blue,0.09,0.1,0.09,0.09,0.08,0.1,0.12,1532,7,2.5,1.6,43,47.5,Landgemeinde
16075081,16075,Peuschen,AfD,blue,0.13,0.14,0.14,0.14,0.14,0.17,0.17,1532,7,2,1.6,43,47.5,Landgemeinde
16075086,16075,Pottiga,Linke,Linke,0.13,0.19,0.28,0.24,0.33,0.37,0.33,1532,7,34.9,1.6,43,47.5,Landgemeinde
16075093,16075,Rosendorf,AfD,blue,0.08,0.1,0.08,0.09,0.1,0.11,0.12,1532,7,55,1.6,43,47.5,Landgemeinde
16075109,16075,Tegau,AfD,blue,0.1,0.12,0.1,0.11,0.11,0.14,0.12,1532,7,2,1.6,43,47.5,Landgemeinde
16075124,16075,Wernburg,AfD,blue,0.1,0.11,0.09,0.09,0.1,0.12,0.11,1532,7,30,1.6,43,47.5,Landgemeinde
16076008,16076,Brahmenau,AfD,blue,0.24,0.27,0.12,0.12,0.12,0.15,0.14,1563,8.3,15.7,1.3,28,48.8,Landgemeinde
16076019,16076,Gauern,AfD,blue,0.11,0.13,0.1,0.1,0.1,0.11,0.14,1563,8.3,29,1.3,28,48.8,Landgemeinde
16076034,16076,Kauern,AfD,blue,0.11,0.11,0.09,0.09,0.1,0.11,0.11,1563,8.3,18,1.3,28,48.8,Landgemeinde
16076036,16076,Korbußen,AfD,blue,0.13,0.13,0.11,0.12,0.12,0.13,0.14,1563,8.3,33.9,1.3,28,48.8,Landgemeinde
16076067,16076,Schwaara,AfD,blue,0.14,0.16,0.13,0.12,0.1,0.12,0.14,1563,8.3,,1.3,28,48.8,Landgemeinde
16076068,16076,Schwarzbach,AfD,blue,0.09,0.09,0.08,0.09,0.09,0.11,0.11,1563,8.3,52.3,1.3,28,48.8,Landgemeinde
16076074,16076,Teichwitz,AfD,blue,0.12,0.11,0.08,0.08,0.09,0.09,0.12,1563,8.3,47,1.3,28,48.8,Landgemeinde
16077001,16077,Altenburg,Linke,Linke,0.1,0.19,0.24,0.18,0.28,0.31,0.25,1482,10.9,13.7,1.7,78,49.3,Mittelstadt
16077006,16077,Frohnsdorf,AfD,blue,0.1,0.1,0.08,0.1,0.09,0.11,0.11,1482,10.9,49,1.7,78,49.3,Landgemeinde
16077016,16077,Heukewalde,AfD,blue,0.11,0.11,0.09,0.11,0.1,0.12,0.11,1482,10.9,50,1.7,78,49.3,Landgemeinde
16077042,16077,Rositz,Linke,Linke,0.1,0.18,0.24,0.17,0.29,0.32,0.25,1482,10.9,12.7,1.7,78,49.3,Landgemeinde
16077047,16077,Thonhausen,AfD,blue,0.1,0.11,0.1,0.1,0.1,0.12,0.13,1482,10.9,46.8,1.7,78,49.3,Landgemeinde
