"AGS","Name","Wahlberechtigte","Wähler","Gültige","CDU","SPD","FDP","DIE.LINKE","GRÜNE","CSU","PIRATEN","NPD","Tierschutzpartei","REP","ÖDP","FAMILIE","Bündnis.21.RRP","RENTNER","BP","PBC","BüSo","DIE.VIOLETTEN","MLPD","Volksabstimmung","PSG","AfD","BIG","pro.Deutschland","DIE.RECHTE","DIE.FRAUEN","FREIE.WÄHLER","Partei.der.Nichtwähler","PARTEI.DER.VERNUNFT","Die.PARTEI","CDU_rel","SPD_rel","FDP_rel","DIE.LINKE_rel","GRÜNE_rel","CSU_rel","PIRATEN_rel","NPD_rel","Tierschutzpartei_rel","REP_rel","ÖDP_rel","FAMILIE_rel","Bündnis.21.RRP_rel","RENTNER_rel","BP_rel","PBC_rel","BüSo_rel","DIE.VIOLETTEN_rel","MLPD_rel","Volksabstimmung_rel","PSG_rel","AfD_rel","BIG_rel","pro.Deutschland_rel","DIE.RECHTE_rel","DIE.FRAUEN_rel","FREIE.WÄHLER_rel","Partei.der.Nichtwähler_rel","PARTEI.DER.VERNUNFT_rel","Die.PARTEI_rel","Wahlbeteiligung","ost_west"
"14522490","Rochlitz",5348,2945,2889,1117,441,96,793,91,0,53,94,0,0,0,0,0,0,0,0,7,0,3,0,0,165,0,8,0,0,21,0,0,0,38.664,15.265,3.323,27.449,3.15,0,1.835,3.254,0,0,0,0,0,0,0,0,0.242,0,0.104,0,0,5.711,0,0.277,0,0,0.727,0,0,0,55.1,"Ost"
"14522500","Rossau",2978,2029,1993,918,247,72,377,51,0,55,83,0,0,0,0,0,0,0,0,2,0,3,0,0,133,0,15,0,0,37,0,0,0,46.061,12.393,3.613,18.916,2.559,0,2.76,4.165,0,0,0,0,0,0,0,0,0.1,0,0.151,0,0,6.673,0,0.753,0,0,1.856,0,0,0,68.1,"Ost"
"14522510","Roßwein",6576,3636,3555,1632,448,88,776,114,0,81,151,0,0,0,0,0,0,0,0,7,0,2,0,0,194,0,17,0,0,45,0,0,0,45.907,12.602,2.475,21.828,3.207,0,2.278,4.248,0,0,0,0,0,0,0,0,0.197,0,0.056,0,0,5.457,0,0.478,0,0,1.266,0,0,0,55.3,"Ost"
"14522520","Sayda",1650,978,968,488,96,54,165,25,0,24,37,0,0,0,0,0,0,0,0,0,0,2,0,0,54,0,5,0,0,18,0,0,0,50.413,9.917,5.579,17.045,2.583,0,2.479,3.822,0,0,0,0,0,0,0,0,0,0,0.207,0,0,5.579,0,0.517,0,0,1.86,0,0,0,59.3,"Ost"
"14522530","Seelitz",1603,1029,1013,454,124,24,223,39,0,17,36,0,0,0,0,0,0,0,0,3,0,2,0,0,87,0,1,0,0,3,0,0,0,44.817,12.241,2.369,22.014,3.85,0,1.678,3.554,0,0,0,0,0,0,0,0,0.296,0,0.197,0,0,8.588,0,0.099,0,0,0.296,0,0,0,64.2,"Ost"
"14522540","Striegistal",4010,2560,2509,1261,263,79,472,65,0,42,102,0,0,0,0,0,0,0,0,2,0,4,0,0,172,0,8,0,0,39,0,0,0,50.259,10.482,3.149,18.812,2.591,0,1.674,4.065,0,0,0,0,0,0,0,0,0.08,0,0.159,0,0,6.855,0,0.319,0,0,1.554,0,0,0,63.8,"Ost"
"14522550","Taura",2093,1290,1260,628,161,33,237,30,0,23,36,0,0,0,0,0,0,0,0,1,0,1,0,0,95,0,4,0,0,11,0,0,0,49.841,12.778,2.619,18.81,2.381,0,1.825,2.857,0,0,0,0,0,0,0,0,0.079,0,0.079,0,0,7.54,0,0.317,0,0,0.873,0,0,0,61.6,"Ost"
"14522570","Waldheim",7845,4247,4175,1784,570,169,929,115,0,85,181,0,0,0,0,0,0,0,0,4,0,4,0,0,243,0,30,0,0,61,0,0,0,42.731,13.653,4.048,22.251,2.754,0,2.036,4.335,0,0,0,0,0,0,0,0,0.096,0,0.096,0,0,5.82,0,0.719,0,0,1.461,0,0,0,54.1,"Ost"
"14522580","Wechselburg",1655,1052,1035,476,148,19,182,28,0,17,57,0,0,0,0,0,0,0,0,1,0,3,0,0,79,0,6,0,0,19,0,0,0,45.99,14.3,1.836,17.585,2.705,0,1.643,5.507,0,0,0,0,0,0,0,0,0.097,0,0.29,0,0,7.633,0,0.58,0,0,1.836,0,0,0,63.6,"Ost"
"14522590","Weißenborn/Erzgeb.",2164,1439,1420,705,163,56,274,29,0,29,57,0,0,0,0,0,0,0,0,1,0,1,0,0,76,0,6,0,0,23,0,0,0,49.648,11.479,3.944,19.296,2.042,0,2.042,4.014,0,0,0,0,0,0,0,0,0.07,0,0.07,0,0,5.352,0,0.423,0,0,1.62,0,0,0,66.5,"Ost"
