"KRS","KRS_Name","Wahlberechtigte","Wähler","Gültige","SPD","CDU","CSU","GRÜNE","FDP","PDS","REP","GRAUE","Tierschutz","NPD","ödp","PBC","FRAUEN","BP","FAMILIE","CM","BüSo","HP","Violetten","AUFBRUCH","ZENTRUM","KPD","PRG","Schill","SPD_rel","CDU_rel","CSU_rel","GRÜNE_rel","FDP_rel","PDS_rel","REP_rel","GRAUE_rel","Tierschutz_rel","NPD_rel","ödp_rel","PBC_rel","FRAUEN_rel","BP_rel","FAMILIE_rel","CM_rel","BüSo_rel","HP_rel","Violetten_rel","AUFBRUCH_rel","ZENTRUM_rel","KPD_rel","PRG_rel","Schill_rel","Wahlbeteiligung","ost_west"
"16068","Sömmerda",65670,48349,47470,18552,14496,0,1645,3026,7910,444,167,0,437,73,0,0,0,0,0,0,0,0,0,0,0,0,720,39.082,30.537,0,3.465,6.375,16.663,0.935,0.352,0,0.921,0.154,0,0,0,0,0,0,0,0,0,0,0,0,1.517,73.6,"Ost"
"16069","Hildburghausen",60147,45065,44468,17994,13628,0,1224,2391,7890,479,93,0,367,73,0,0,0,0,0,0,0,0,0,0,0,0,329,40.465,30.647,0,2.753,5.377,17.743,1.077,0.209,0,0.825,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0.74,74.9,"Ost"
"16070","Ilm-Kreis",98996,75589,74489,29588,22567,0,2901,4215,12532,511,325,0,607,144,0,0,0,0,0,0,0,0,0,0,0,0,1099,39.721,30.296,0,3.895,5.659,16.824,0.686,0.436,0,0.815,0.193,0,0,0,0,0,0,0,0,0,0,0,0,1.475,76.4,"Ost"
"16071","Weimarer Land",73324,55702,54806,21076,16899,0,2273,3771,8480,724,265,0,492,85,0,0,0,0,0,0,0,0,0,0,0,0,741,38.456,30.834,0,4.147,6.881,15.473,1.321,0.484,0,0.898,0.155,0,0,0,0,0,0,0,0,0,0,0,0,1.352,76,"Ost"
"16072","Sonneberg",56229,41270,40725,16067,12520,0,1120,1830,8000,369,85,0,436,52,0,0,0,0,0,0,0,0,0,0,0,0,246,39.452,30.743,0,2.75,4.494,19.644,0.906,0.209,0,1.071,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0.604,73.4,"Ost"
"16073","Saalfeld-Rudolstadt",107626,80338,79129,31913,23094,0,2722,4528,13587,820,317,0,1052,136,0,0,0,0,0,0,0,0,0,0,0,0,960,40.33,29.185,0,3.44,5.722,17.171,1.036,0.401,0,1.329,0.172,0,0,0,0,0,0,0,0,0,0,0,0,1.213,74.6,"Ost"
"16074","Saale-Holzland-Kreis",76093,58520,57702,22952,16764,0,2072,3868,9717,475,252,0,657,98,0,0,0,0,0,0,0,0,0,0,0,0,847,39.777,29.053,0,3.591,6.703,16.84,0.823,0.437,0,1.139,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1.468,76.9,"Ost"
"16075","Saale-Orla-Kreis",79540,60149,59356,23806,17733,0,1976,3470,10099,527,217,0,761,115,0,0,0,0,0,0,0,0,0,0,0,0,652,40.107,29.876,0,3.329,5.846,17.014,0.888,0.366,0,1.282,0.194,0,0,0,0,0,0,0,0,0,0,0,0,1.098,75.6,"Ost"
"16076","Greiz",101063,76833,75715,29279,23355,0,2613,5201,12149,591,371,0,1004,155,0,0,0,0,0,0,0,0,0,0,0,0,997,38.67,30.846,0,3.451,6.869,16.046,0.781,0.49,0,1.326,0.205,0,0,0,0,0,0,0,0,0,0,0,0,1.317,76,"Ost"
"16077","Altenburger Land",93361,66947,65868,26210,19797,0,2127,4187,10849,588,324,0,850,106,0,0,0,0,0,0,0,0,0,0,0,0,830,39.792,30.056,0,3.229,6.357,16.471,0.893,0.492,0,1.29,0.161,0,0,0,0,0,0,0,0,0,0,0,0,1.26,71.7,"Ost"
