KRS,Name,Art,Einwohner,CDU,SPD,FDP,DIE.LINKE,GRÜNE,CSU,PIRATEN,NPD,Tierschutzpartei,REP,ÖDP,FAMILIE,Bündnis.21.RRP,RENTNER,BP,PBC,BüSo,DIE.VIOLETTEN,MLPD,Volksabstimmung,PSG,AfD,BIG,pro.Deutschland,DIE.RECHTE,DIE.FRAUEN,FREIE.WÄHLER,Partei.der.Nichtwähler,PARTEI.DER.VERNUNFT,Die.PARTEI,Wahlbeteiligung,ost_west,Medianeinkommen,Arbeitslosenquote,Ausländeranteil,Schulabgänger.ohne.Abschluss,Kriminalität,Mietpreis,Mietsteigerung,Ländlichkeit
3152,Göttingen,Landkreis,250220,35.428,32.763,4.046,6.422,13.017,0,1.99,0.69,0.7,0.052,0,0,0,0,0,0.09,0,0,0.04,0,0,3.718,0,0.14,0,0,0.904,0,0,0,75.21810195,West,2981,6.3,6.9,4,8722,7.9,30.4,25.2
3153,Goslar,Landkreis,137256,38.3,37.226,4.207,5.572,6.45,0,1.552,0.963,0.821,0.09,0,0,0,0,0,0.064,0,0,0.037,0,0,4.133,0,0.131,0,0,0.455,0,0,0,70.82929691,West,2727,8.6,6,7.8,7058,5.09,8.5,8.9
3154,Helmstedt,Landkreis,90908,39.547,36.074,3.601,4.814,6.699,0,1.808,1.821,1.016,0.032,0,0,0,0,0,0.107,0,0,0.023,0,0,3.718,0,0.143,0,0,0.596,0,0,0,71.89361389,West,2536,7.2,4.4,5,6544,5.12,7.9,49.3
3155,Northeim,Landkreis,133905,37.473,39.192,3.835,4.536,7.143,0,1.283,1.069,0.679,0.059,0,0,0,0,0,0.113,0,0,0.015,0,0,3.88,0,0.182,0,0,0.54,0,0,0,72.6396778,West,2757,6.9,4.1,5.7,5667,4.98,10.6,76.1
3156,Osterode am Harz,Landkreis,73793,38.092,38.509,3.868,5.324,6.126,0,1.481,1.247,0.769,0.073,0,0,0,0,0,0.075,0,0,0.032,0,0,3.53,0,0.156,0,0,0.719,0,0,0,71.40981086,West,2796,7.6,4.1,5.9,5423,4.63,0.7,10
3157,Peine,Landkreis,130601,35.941,40.598,3.292,4.867,7.36,0,1.641,0.98,0.798,0.108,0,0,0,0,0,0.173,0,0,0.029,0,0,3.599,0,0.182,0,0,0.432,0,0,0,75.41323319,West,2800,6.1,5.2,3.4,5013,5.8,17,16.4
3158,Wolfenbüttel,Landkreis,120035,36.683,36.938,3.805,5.019,9.009,0,1.656,1.004,0.933,0.077,0,0,0,0,0,0.09,0,0,0.019,0,0,4.085,0,0.116,0,0,0.566,0,0,0,76.62976377,West,2786,6,4.1,3.8,4033,6.17,14.3,46.1
3241,Region Hannover,Landkreis,1128037,36.318,34.763,4.486,5.727,10.87,0,1.732,0.726,0.791,0.09,0,0,0,0,0,0.106,0,0,0.042,0,0,3.752,0,0.135,0,0,0.462,0,0,0,74.40944092,West,3194,8.2,10.6,4.6,10737,7.42,22.4,7.4
3251,Diepholz,Landkreis,211093,43.244,31.5,5.026,4.536,8.342,0,1.532,0.803,0.842,0.073,0,0,0,0,0,0.092,0,0,0.015,0,0,3.388,0,0.121,0,0,0.485,0,0,0,73.82782338,West,2669,4.6,5.1,2.5,5606,6.23,12.8,51.2
3252,Hameln-Pyrmont,Landkreis,147813,38.135,35.291,3.977,5.616,8.631,0,1.724,0.891,0.779,0.079,0,0,0,0,0,0.103,0,0,0.02,0,0,4.302,0,0.115,0,0,0.339,0,0,0,71.36422352,West,2970,7.9,7.2,5.7,6468,5.09,10.2,37.2
3254,Hildesheim,Landkreis,274554,38.676,36.393,3.429,4.982,8.949,0,1.802,0.909,0.741,0.056,0,0,0,0,0,0.093,0,0,0.019,0,0,3.436,0,0.236,0,0,0.279,0,0,0,75.0536273,West,2885,7.4,5.6,5.9,6353,5.5,9.9,24.6
3255,Holzminden,Landkreis,71438,36.676,37.554,5.537,4.699,8.24,0,1.367,0.996,0.742,0.067,0,0,0,0,0,0.216,0,0,0.029,0,0,3.475,0,0.084,0,0,0.319,0,0,0,72.69347287,West,2934,7.7,4.6,7.7,5100,4.38,5.5,51.2
3256,Nienburg,Landkreis,119631,43.459,33.616,3.642,4.183,7.712,0,1.395,0.975,0.757,0.079,0,0,0,0,0,0.119,0,0,0.021,0,0,3.588,0,0.109,0,0,0.346,0,0,0,70.99195879,West,2671,6.1,4.7,9,5304,5.11,11.1,74.3
3257,Schaumburg,Landkreis,155847,38.529,37.307,3.593,4.342,8.173,0,1.562,0.816,0.853,0.078,0,0,0,0,0,0.169,0,0,0.032,0,0,4.126,0,0.116,0,0,0.305,0,0,0,73.51467945,West,2750,7.1,5.7,2,6109,5.14,7.8,15.3
